City,GMT_day,CO_mean,CO_left_spread,CO_right_spread,CO_normal_spread,NO2_mean,NO2_left_spread,NO2_right_spread,NO2_normal_spread,SO2_mean,SO2_left_spread,SO2_right_spread,SO2_normal_spread,O3_mean,O3_left_spread,O3_right_spread,O3_normal_spread,PM2.5_mean,PM2.5_left_spread,PM2.5_right_spread,PM2.5_normal_spread,PM10_mean,PM10_left_spread,PM10_right_spread,PM10_normal_spread,AQI_mean,AQI_left_spread,AQI_right_spread,AQI_normal_spread
Brasilia,2024-01-01,216.08333333333334,48.08333333333334,106.91666666666666,51.324980498665624,7.4750000000000005,6.675000000000001,16.325,6.973942182526135,1.5208333333333333,1.1208333333333331,1.2791666666666666,0.8016174771735863,57.333333333333336,19.333333333333336,24.666666666666664,15.521840619974297,7.020833333333333,2.9208333333333334,5.479166666666667,2.731296740388706,10.0375,4.0375,7.862499999999999,3.882380768907477,22.933333375,7.733333375000001,9.866666624999997,6.208736420724364
Brasilia,2024-01-02,189.20833333333334,13.208333333333343,45.79166666666666,17.070134526523894,4.425,3.625,8.675,3.506422678457348,1.2458333333333333,0.7458333333333333,1.0541666666666665,0.621344381627218,51.208333333333336,11.208333333333336,17.791666666666664,8.048651880995305,4.208333333333333,2.308333333333333,3.9916666666666663,2.119457819649959,6.008333333333333,3.208333333333333,5.691666666666666,3.0377217817286057,20.483333,4.483332999999998,7.116667000000003,3.2194606641666343
Brasilia,2024-01-03,174.125,11.125,49.875,13.766097296714445,2.8166666666666664,1.5166666666666664,7.783333333333333,2.070846637755063,0.6833333333333332,0.2833333333333332,0.8166666666666668,0.27133593275826395,34.666666666666664,16.666666666666664,7.333333333333336,5.24749767832802,1.4458333333333335,0.8458333333333335,2.2541666666666664,0.87027190486985,2.0541666666666667,1.1541666666666668,3.245833333333333,1.2423607144978213,13.866666470833332,6.666666170833332,2.933333529166669,2.0989990078089518
Brasilia,2024-01-04,187.29166666666666,15.291666666666657,34.70833333333334,12.623233123600055,3.9458333333333333,2.5458333333333334,6.154166666666667,2.132966737070524,0.8166666666666668,0.31666666666666676,0.5833333333333331,0.286912600942709,23.75,7.75,6.25,4.989118594283574,2.775,1.775,3.725,1.5002173755536377,3.9166666666666665,2.5166666666666666,5.383333333333335,2.133514485062385,9.499999704166667,3.100000104166667,2.500000295833333,1.9956471730069567
Brasilia,2024-01-05,188.875,10.875,25.125,9.547649380640872,3.329166666666667,2.229166666666667,4.6708333333333325,1.9335660154832788,0.5833333333333334,0.2833333333333334,0.41666666666666663,0.23529198635010862,24.375,12.375,13.625,7.834219807996199,3.4791666666666665,2.5791666666666666,6.720833333333333,3.193468765092777,4.508333333333334,3.3083333333333336,8.491666666666667,4.031173814020002,9.863541733333333,3.0635417333333335,5.336458266666666,2.9881355050428375
Brasilia,2024-01-06,191.91666666666666,27.916666666666657,55.08333333333334,25.585180266618455,4.583333333333333,3.883333333333333,8.416666666666668,4.0200223519459355,0.5958333333333333,0.49583333333333335,1.0041666666666669,0.41439234367052885,24.666666666666668,16.666666666666668,16.333333333333332,13.327534971096382,4.491666666666666,2.0916666666666663,5.208333333333333,2.1695354475027617,5.925,2.7249999999999996,6.875000000000001,2.827850620247609,10.911805529166665,4.428471929166665,5.488194470833333,4.195636174118277
Brasilia,2024-01-07,180.20833333333334,37.20833333333334,66.79166666666666,34.66984552036247,6.241666666666667,5.441666666666667,10.358333333333334,5.10165503125907,1.0416666666666667,0.7416666666666667,1.1583333333333334,0.5249568650326687,41.75,28.75,37.25,23.255200446912664,4.25,2.85,2.25,1.5234400431974313,5.866666666666667,3.9666666666666672,3.133333333333333,2.120226949843006,17.202083041666665,9.018750041666665,14.397914958333335,8.735916402383497
Brasilia,2024-01-08,166.66666666666666,23.666666666666657,29.333333333333343,15.982780589194078,4.7625,3.3625000000000003,5.1375,2.5004021415694755,1.2791666666666666,0.7791666666666666,0.8208333333333335,0.5633588451473865,41.916666666666664,12.916666666666664,8.083333333333336,7.465379029759375,3.0583333333333336,2.0583333333333336,4.841666666666667,1.9241975553159967,4.3374999999999995,2.9374999999999996,6.7625,2.6952151644365423,16.766666583333333,5.166667583333332,3.2333334166666674,2.9861516109331423
Brasilia,2024-01-09,188.25,26.25,87.75,28.77838863060114,6.291666666666667,5.591666666666667,12.208333333333332,4.844532253337075,1.2375,0.8375,0.9625000000000001,0.5198766576125867,35.875,22.875,31.125,21.710170928372037,5.229166666666667,2.029166666666667,2.770833333333333,1.573552935423435,7.254166666666666,2.7541666666666664,4.145833333333334,2.194059007305007,14.7704862,8.6204862,12.029514800000001,8.248833501697625
Brasilia,2024-01-10,201.08333333333334,49.08333333333334,85.91666666666666,44.98300806407628,7.458333333333333,5.8583333333333325,10.841666666666669,5.41591187606255,1.9749999999999999,0.8749999999999998,0.5250000000000001,0.5006517491361072,52.708333333333336,23.708333333333336,28.291666666666664,20.604936442442657,5.558333333333334,1.5583333333333336,3.241666666666667,1.5650855419507226,7.958333333333333,2.158333333333333,4.641666666666667,2.203537998343782,21.083333,9.483334,11.316666999999999,8.241974660677304
