model,fit_distance,term,modal,left_spread,right_spread
M3,DK,intercept,0.675527700892975,0.029663656620260187,0.027128453110140865
M3,DK,x1,-0.004459529964126601,0.0,0.0003221674202803041
M3,DK,x2,-0.006859409298870114,0.0,0.0005436987936231724
M3,DK,x3,-0.15098753071109078,0.0,0.006685040694726193
M3,YK,intercept,0.6778353260851844,0.02795993086253859,0.023546588507123923
M3,YK,x1,-0.004495934376783919,0.0,0.00037029466323937733
M3,YK,x2,-0.006911618878710853,0.0,0.000620001413329661
M3,YK,x3,-0.15252535908324352,0.0,0.007954921630882454
