fit_distance,S_DYK2,R_DYK2,S_DDK2,R_DDK2
DK,0.19207400986508602,0.7253744667515124,0.062460613292468145,0.7253282495888765
YK,0.19205078593879019,0.7254076720932845,0.06246689463616471,0.7253006272589453
