fit_distance,S_DYK2,R_DYK2,S_DDK2,R_DDK2
DK,0.19345610557680273,0.723398359874287,0.06321119278632242,0.7220275618028905
YK,0.1933192161060154,0.7235940830954426,0.06325769909272354,0.7218230494244331
