Model,S_DYK2,S_DDK2,R_DYK2,R_DDK2
The model M2 fitted with D_DK,0.1935,0.0632,0.7234,0.722
The model M2 fitted with D_YK,0.1933,0.0633,0.7236,0.7218
The model M3 fitted with D_DK or D_YK,0.1921,0.0625,0.7254,0.7253
The classical regression model,0.1935,0.0635,0.7233,0.7209
