City,day,CO_mean,CO_min,CO_max,CO_std,NO2_mean,NO2_min,NO2_max,NO2_std,SO2_mean,SO2_min,SO2_max,SO2_std,O3_mean,O3_min,O3_max,O3_std,PM2.5_mean,PM2.5_min,PM2.5_max,PM2.5_std,PM10_mean,PM10_min,PM10_max,PM10_std,AQI_mean,AQI_min,AQI_max,AQI_std
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasilia,2024-01-01,216.08333333333334,168.0,323.0,51.324980498665624,7.4750000000000005,0.8,23.8,6.973942182526135,1.5208333333333333,0.4,2.8,0.8016174771735863,57.333333333333336,38.0,82.0,15.521840619974297,7.020833333333333,4.1,12.5,2.731296740388706,10.0375,6.0,17.9,3.882380768907477,22.933333375,15.2,32.8,6.208736420724364
Brasilia,2024-01-02,189.20833333333334,176.0,235.0,17.070134526523894,4.425,0.8,13.1,3.506422678457348,1.2458333333333333,0.5,2.3,0.621344381627218,51.208333333333336,40.0,69.0,8.048651880995305,4.208333333333333,1.9,8.2,2.119457819649959,6.008333333333333,2.8,11.7,3.0377217817286057,20.483333,16.0,27.6,3.2194606641666343
Brasilia,2024-01-03,174.125,163.0,224.0,13.766097296714445,2.8166666666666664,1.3,10.6,2.070846637755063,0.6833333333333332,0.4,1.5,0.27133593275826395,34.666666666666664,18.0,42.0,5.24749767832802,1.4458333333333335,0.6,3.7,0.87027190486985,2.0541666666666667,0.9,5.3,1.2423607144978213,13.866666470833332,7.2000003,16.8,2.0989990078089518
Brasilia,2024-01-04,187.29166666666666,172.0,222.0,12.623233123600055,3.9458333333333333,1.4,10.1,2.132966737070524,0.8166666666666668,0.5,1.4,0.286912600942709,23.75,16.0,30.0,4.989118594283574,2.775,1.0,6.5,1.5002173755536377,3.9166666666666665,1.4,9.3,2.133514485062385,9.499999704166667,6.3999996,12.0,1.9956471730069567
Brasilia,2024-01-05,188.875,178.0,214.0,9.547649380640872,3.329166666666667,1.1,8.0,1.9335660154832788,0.5833333333333334,0.3,1.0,0.23529198635010862,24.375,12.0,38.0,7.834219807996199,3.4791666666666665,0.9,10.2,3.193468765092777,4.508333333333334,1.2,13.0,4.031173814020002,9.863541733333333,6.8,15.2,2.9881355050428375
Brasilia,2024-01-06,191.91666666666666,164.0,247.0,25.585180266618455,4.583333333333333,0.7,13.0,4.0200223519459355,0.5958333333333333,0.1,1.6,0.41439234367052885,24.666666666666668,8.0,41.0,13.327534971096382,4.491666666666666,2.4,9.7,2.1695354475027617,5.925,3.2,12.8,2.827850620247609,10.911805529166665,6.4833336,16.4,4.195636174118277
Brasilia,2024-01-07,180.20833333333334,143.0,247.0,34.66984552036247,6.241666666666667,0.8,16.6,5.10165503125907,1.0416666666666667,0.3,2.2,0.5249568650326687,41.75,13.0,79.0,23.255200446912664,4.25,1.4,6.5,1.5234400431974313,5.866666666666667,1.9,9.0,2.120226949843006,17.202083041666665,8.183333,31.599998,8.735916402383497
Brasilia,2024-01-08,166.66666666666666,143.0,196.0,15.982780589194078,4.7625,1.4,9.9,2.5004021415694755,1.2791666666666666,0.5,2.1,0.5633588451473865,41.916666666666664,29.0,50.0,7.465379029759375,3.0583333333333336,1.0,7.9,1.9241975553159967,4.3374999999999995,1.4,11.1,2.6952151644365423,16.766666583333333,11.599999,20.0,2.9861516109331423
Brasilia,2024-01-09,188.25,162.0,276.0,28.77838863060114,6.291666666666667,0.7,18.5,4.844532253337075,1.2375,0.4,2.2,0.5198766576125867,35.875,13.0,67.0,21.710170928372037,5.229166666666667,3.2,8.0,1.573552935423435,7.254166666666666,4.5,11.4,2.194059007305007,14.7704862,6.15,26.800001,8.248833501697625
Brasilia,2024-01-10,201.08333333333334,152.0,287.0,44.98300806407628,7.458333333333333,1.6,18.3,5.41591187606255,1.9749999999999999,1.1,2.5,0.5006517491361072,52.708333333333336,29.0,81.0,20.604936442442657,5.558333333333334,4.0,8.8,1.5650855419507226,7.958333333333333,5.8,12.6,2.203537998343782,21.083333,11.599999,32.4,8.241974660677304
Brasilia,2024-01-11,197.20833333333334,142.0,253.0,37.072173047890686,6.5625,0.9,15.0,4.168391671908337,1.9458333333333335,0.7,3.0,0.7683857538155341,56.25,15.0,93.0,25.963603287143595,9.716666666666667,4.6,16.1,3.342436844275597,13.875,6.6,22.9,4.688584657117382,23.461805249999998,12.4,37.2,9.170152129502615
Brasilia,2024-01-12,243.5,142.0,396.0,94.83899399829534,12.141666666666666,0.7,32.4,11.456493001091474,2.0458333333333334,0.8,3.8,0.983772316653855,56.208333333333336,14.0,102.0,31.58422716795682,8.054166666666667,4.4,14.1,3.4536658742580317,11.591666666666667,6.5,20.1,4.8516170918361965,26.924305750000002,19.366667,41.333332,7.8804351774781
Brasilia,2024-01-13,197.16666666666666,147.0,260.0,37.510191851730404,7.558333333333334,1.5,16.4,4.969377239144513,1.8958333333333333,0.6,3.5,0.954385377756471,59.916666666666664,26.0,89.0,24.951982872616806,7.266666666666667,4.7,9.5,1.2214270579821844,10.433333333333334,6.8,13.6,1.7402315354864275,24.603472208333333,12.991666,35.6,9.222119804728974
Brasilia,2024-01-14,265.375,146.0,492.0,127.6679839679267,14.891666666666666,1.5,40.1,14.436635663317208,2.504166666666667,0.7,4.9,1.4100506209435137,46.625,12.0,73.0,21.31301398717204,9.258333333333333,6.6,14.0,2.7032857087604354,13.262500000000001,9.5,20.0,3.8728500347036885,22.040902666666668,15.599999,29.2,4.490654547500268
Brasilia,2024-01-15,207.16666666666666,151.0,247.0,35.41145315420922,7.841666666666666,1.1,15.0,5.007118121640229,1.7041666666666666,0.6,2.8,0.6160739415437688,62.416666666666664,21.0,106.0,32.621567507810944,6.970833333333334,2.5,11.9,3.0274798195811323,9.933333333333334,3.6,16.9,4.319386698279671,27.476041541666664,16.074999,44.0,10.735124075452935
Brasilia,2024-01-16,235.20833333333334,136.0,351.0,85.66668428917652,11.758333333333333,0.7,29.3,10.170884133543701,1.8791666666666667,0.2,3.9,1.2510792442376777,59.291666666666664,15.0,101.0,29.70357783553833,8.241666666666667,2.5,16.4,5.033100580087325,11.804166666666667,3.7,23.4,7.155446643408549,25.34444425,14.050002,40.666664,9.962568589127867
Brasilia,2024-01-17,235.0,132.0,382.0,93.05912099305475,11.5875,0.6,29.9,10.450600669235525,2.0166666666666666,0.6,3.2,1.067164738786915,57.0,18.0,95.0,32.3849132883763,4.866666666666666,0.8,9.7,3.250239679010533,6.9750000000000005,1.1,13.9,4.648164668189876,25.547222166666668,13.408333,38.0,9.983000936414749
