model,shape,fit_distance,S_DYK2,R_DYK2,S_DDK2,R_DDK2
M2,T,DK,239.88553081025603,0.8796336808566433,98.03700566547757,0.8525740458237364
M2,T,YK,235.19423568440087,0.8819876116018911,99.9816876541468,0.8496496746049007
M2,N,DK,268.9296273946227,0.867305516300665,113.15053686728629,0.8341250449234294
M2,N,YK,265.27242640961293,0.8691100418979077,114.65681676314775,0.8319168882767508
M3,T,DK,170.38391107310954,0.9145072062168645,60.04009619273131,0.9097129863364952
M3,T,YK,170.3496181551603,0.9145244132251084,60.05152716538105,0.909695796684092
M3,N,DK,186.09711446648615,0.9081764967240638,68.18465877252311,0.900043539129919
M3,N,YK,186.09711446648615,0.9081764967240638,68.18465877252311,0.900043539129919
